size,Triton,Torch
4096.000000,12.000000,13.016949
8192.000000,27.066080,24.774194
16384.000000,45.680296,48.000000
32768.000000,76.800002,74.472725
65536.000000,96.000000,107.789472
131072.000000,139.636363,139.636363
262144.000000,146.503729,153.600004
524288.000000,166.054047,166.054047
1048576.000000,175.308063,175.542852
2097152.000000,178.086953,179.386867
4194304.000000,180.705879,180.788963
8388608.000000,181.707953,181.372696
16777216.000000,180.208976,179.961547
33554432.000000,179.060113,179.591686
67108864.000000,179.879222,180.394999
134217728.000000,180.969030,181.021093
