size,Triton,Torch
4096.000000,12.000000,12.000000
8192.000000,24.000000,24.000000
16384.000000,48.000000,48.000000
32768.000000,76.800002,76.800002
65536.000000,96.000000,97.523810
131072.000000,139.636363,131.422461
262144.000000,153.600004,153.600004
524288.000000,166.054047,166.054047
1048576.000000,173.070417,174.685018
2097152.000000,178.086953,179.386867
4194304.000000,180.043948,180.043948
8388608.000000,182.382199,179.009172
16777216.000000,181.707953,182.382199
33554432.000000,181.551957,181.707953
67108864.000000,180.225764,180.771431
134217728.000000,180.208976,180.934539
